"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tyre_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Kids Bike","Shimano","Giant","","","Green","Used","","","","","","","","","","","","","","","XTC Jr","","7 Speed","","","","","","","","","","","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","225","AU $220.00","ebay_australia_bike","2022-10-17 17:37:09","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/255744433421?hash=item3b8b8e5d0d:g:cpAAAOSw-bNjMMDO&amdata=enc%3AAQAHAAAAoDRd1S%2Fe0vegSgxUV4boZwRI%2B3T0cnzs9TcYRaXAnnHZRctP7ztS1W28ChliQGhYlwEaymq5H249mHIPKJxGl6L0UCX%2FAiuK8%2ByyJXuSa0s6FAWwflF73GNU2nSIS50EBDVr2X4Am%2B7eEst5eJT0S0uUNABcJhWRPoRvBa8qAIHaYEsPWrCPdKIHKXTN05Mae9aTirxSwpWPa7yOzdsUdgs%3D%7Ctkp%3ABk9SR6j7pvD8YA",""," Giant XTC Junior Street 20 Bicycle","","Bikes"
"","","Road Bike","Rim Brake - Mechanical","Giant","","","Blue","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Boys","","","","","36 cm","","","","Drop Bar","","","Aluminium","","","12 Speed","","","","Road Bike Shifter","","","No Suspension","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","226","AU $650.00","ebay_australia_bike","2022-10-17 17:37:09","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/165689547978?hash=item2693dddcca:g:5skAAOSwPLZjLSWV&amdata=enc%3AAQAHAAAAoLUHj9Kxaz9l9dDv%2FXJFHuUjNXzavueDun0e1JMsarsbrGYwoExed%2FqysQninrh7pQXC2Q9zMlQX4fM97wMuNiACIFd61N4MOTfP2DUSSXViP7v%2B6bpU742glzcOdeEMhDph8sGGtQuPZ4OGTeav846fuSIZKvojKxfXRkyhKPWsuzh6BDi6rA44azlQfNj8Jmhmg8XDmKBtut1tuc2YomE%3D%7Ctkp%3ABk9SR6j7pvD8YA",""," Giant tcr compact aluminum ","","Bikes"
"","","Mountain Bike","Discs front and rear","Giant","","","Blue","Used","","","","","","","27 cm","","Derailleur Gears","","Flat Bar","","","Carbon Fibre","Shimano Positron","","27 Speed","","","","Thumb Shifter","","","Full Suspension (Front & Rear)","Fat Tyres","","","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","227","AU $999.00","ebay_australia_bike","2022-10-17 17:37:09","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/385132745471?hash=item59abb352ff:g:JTwAAOSw0tJjL-XL&amdata=enc%3AAQAHAAAAoBkGvk8dDfiztEGmZ84%2ByOerqFRIQMTtZct7YPHTqGQC5i5lehIimH4dnfABlq%2BYCR4hCxVaC%2B%2B9B5efB3SgDUMpf%2F%2FDISa0QJyrTKr2IAqDFD3Buh%2BR6douxLqJ2sra9db7TsY9lZcQLLRJbPfLnWYDMz7ubvDLYGiz9CUEvBO0uFqN%2B6e%2FJrTGx2hx%2BmIzaYKB4W90yh39SZY8nv0xsAg%3D%7Ctkp%3ABk9SR6j7pvD8YA",""," Giant Advanced SL Trance Mountain Bike female","","Bikes"
"","","Hybrid Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","","","","","","","","","Upland XC","","","","","","","","","No Suspension","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","228","","ebay_australia_bike","2022-10-17 17:37:09","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/255768461717?hash=item3b8cfd0195:g:W88AAOSwxvhjKDRJ&amdata=enc%3AAQAHAAAAoGen1qbIvTaizt6b0YP1Iz5jOsr8Xhq1SK%2ByBw36d0DX1WXsdITU4PKFAAuXtO1sR3e72qSm8z%2F5RO9jnWVFFfKxd2P2sLOb%2F5TeQGIQHYHYpCV8PPlWOBaXAwcsq%2FyVtudRWV%2F5GFM0ho2B1bHAN2F1SFlRNuO45L3KQp0wSv1mVW%2BUzqSSTvI9Z9UWDroPpTnXE5zbjNmsHyjE9szqfS0%3D%7Ctkp%3ABk9SR6r7pvD8YA","AU $170.00"," Mens Giant Upland XC Hybrid Bike Bicycle Pushbike 21” Frame Road / Mountain Bike","0","Bikes"
"","3","Mountain Bike","","Giant","","","Green","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adults","","Bottle Cage, Bell, Adjustable Seat","","","Medium","","","","Flat Bar","","","Carbon Fibre","","2019","","","","","","","","Full Suspension (Front & Rear)","","","","","27.5 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","229","AU $3,250.00","ebay_australia_bike","2022-10-17 17:37:09","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/275501559592?hash=item40252c2f28:g:p-4AAOSwChhjLsAq&amdata=enc%3AAQAHAAAAoKQq7dNOUSBaeHX9A6CYVuVs8OqgxI4fS8yyCtpNP1%2Fw5%2F132jMX9HA8CFR6ukeACFVCLQMhuGnCa0H5uJ61WWVJb7ABj47N%2BW%2Fyt0%2BNzIfe9oyxJCF9Vpj%2Fif8nnogSBZ6olCU1Eaxaq74Is%2BpCNjsQt6cMfXysdnWBtK%2Bu2bJfFEZSINF0MrSxb7VnsVnhAXf8uNU%2BYdkeWPDcCflqfgU%3D%7Ctkp%3ABk9SR6j7pvD8YA","AU $2,500.00"," 2019 Giant Trance Advanced 1. Beautiful bike, new rear tyre & chain. Green.","0","Bikes"
"","","Hybrid Bike","Rim Brake - Mechanical","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Women","","Adjustable Seat, Bell, Kickstand","","","Medium","","Derailleur Gears","","Riser Bar","","Does Not Apply","","Sedona W","","21 Speed","","","","Grip Shifter","","","Front","Clincher Tyres","Does not apply","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","230","AU $140.00","ebay_australia_bike","2022-10-17 17:37:09","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/155180402412?hash=item24217906ec:g:4yQAAOSwJXljMoDH&amdata=enc%3AAQAHAAAAoJwQZ4f%2Bj8nTt%2F6VJRv5Yd7PZuSSK%2BL9VEglixiIUdSKbdRGdZDQuM2%2BtYRIwcv0cI8lXEiXZ46483Pm08qxZTh7yraJ56P7Ei%2F6Qu5bYDbksfvx4FmkhumG4RMLPtBaQdJa7m3Lpbyk7Iy2WMzo59AlXvY5%2BHH%2BaBYLKS0JkS0l7Z1ftKvv9eprw%2B64QwCcLWoinLdt6tQX3%2B5K%2B6ETWZ0%3D%7Ctkp%3ABk9SR6j7pvD8YA",""," Liv Giant Sedona W Womens Comfort Hybrid Mountain Bike","","Bikes"
"","","Mountain Bike","Caliper Brake - Side Pull","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","48 cm","","","","Flat Bar","","","Aluminium","","","21 Speed","","","","","","","Front","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","231","AU $250.00","ebay_australia_bike","2022-10-17 17:37:10","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/265907717374?hash=item3de955c4fe:g:3FMAAOSwCYdjNBWE&amdata=enc%3AAQAHAAAAoGnyySRq8tsNtiabIZTH5gxxHFEC5CK1s9VtTFSi3yDbtSTpSBkJLGHyYAhkVNfHgDwUEkah2OUtKV9grOYVyDiq%2FviztUy0yG0Z%2BvRq9PC1qIjoWM4MYAi4lM9kV1k45a5iV9yfqNxXToyX0iWmOEh0REQa1JLAlzMoBfJwVtSaKXPTrZ%2F9H3fcmwv3rSmz6nYuaF0AhHvyRLaV8ActzyM%3D%7Ctkp%3ABk9SR6j7pvD8YA",""," Aluminium Giant Mountain Bike Men's Or Ladies Bicycle 19inch Frame -pu Melb 3174","","Bikes"
"","","Road Bike","Rim Brake - Hydraulic","Giant","","","Blue","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Kids","","","","","44 cm","","Derailleur Gears","","","","","Aluminium","","","8 Speed","","","","","","","No Suspension","","","No","","22 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","232","","ebay_australia_bike","2022-10-17 17:37:10","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/364012841941?hash=item54c0db2bd5:g:Bb0AAOSwxVpjM4TP&amdata=enc%3AAQAHAAAAoAmmArVaNGJguIilSsWD3hWPdCD0OsS%2BoeyvQwDOjoxO6hXX%2Fp7NGLEHYhH1mJsRAH2Bc6rtAAwUkEMYKhxOyMk3HWnZ0%2BQUNknVkahz13rPQCnCb8UQuIcv%2BO0j9ZKeknfrv28zfJtiNyZjTepP6N7IQQ44Hgzr9fDEn2eJxXLTisdrsgACmt3G6%2Fl64NfQUnX%2BH9%2BFDMGrRsA4tUWOKNU%3D%7Ctkp%3ABk9SR6j7pvD8YA","AU $100.00"," Used grey/blue Giant  OCR24, ALLUX BUTTEO 6000 series kids road bike. ","0","Bikes"
"","","Racing Bike","","Giant","","","","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","233","","ebay_australia_bike","2022-10-17 17:37:10","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/125561809185?hash=item1d3c112921:g:82gAAOSwvQNjNk6Y&amdata=enc%3AAQAHAAAAoDmIqVDpf%2BBn46b%2F30qr9Nn3QG616cn9wTQjBZTFCnWaVuwnKrb2apvOQmSqNi1bJNsBJOtJAxEF0lAF%2BzpmQUrKmCrUfjtk9Wbu%2FAvC%2BsuXa%2BWnFmReM%2BWNIC9XD2Hcn8t86oUbawKm2mDam3nUOOMw2%2BxqFUcpNUkWX64zqctlyAimJDIqsUPPp1DHj2MvyH88wYMZ8icrsS7TbQx3n%2Bg%3D%7Ctkp%3ABk9SR6b7pvD8YA","AU $163.00"," Ex racing Bike still brand new ","0","Bikes"
"","0","Mountain Bike","","Giant","","","Green","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adults","","","","","Medium","","","","","","","","","2022","","","","","","","","","","","No","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","234","AU $850.00","ebay_australia_bike","2022-10-17 17:37:10","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/175432880860?hash=item28d89d52dc:g:OjcAAOSwIEJjNqs3&amdata=enc%3AAQAHAAAAoI0%2BoTAqpKTIt%2BlYFDseq1qnQJMf4%2Bz6cjUnV8LcN5lNq3XxhFepwq%2FcHTEpyX8JNtwqEgDHWPiaT0Bq9NOJYE00lgJQ9PLV%2F0t%2BlxkpZ6%2FbW27yz79Vrsbn4KXDy0WK0mhCtLscpBQMGqkES73G6SNLM8TE1ZXmvY297JBL%2BodCGikEbGrmKSfq0H%2BnoqYZlXaGdVO0jpwJ59LoBfrZOGA%3D%7Ctkp%3ABk9SR6b7pvD8YA",""," Giant Talon 2 2022","","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","24 cm","","","","","","","","","","","","","","","","","","","","No","","22 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","235","AU $240.00","ebay_australia_bike","2022-10-17 17:37:10","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/275494443879?hash=item4024bf9b67:g:BBkAAOSw-5RjNpcj&amdata=enc%3AAQAHAAAAoCzNT8noAzuLQfKuafcyrDxBx6zQZ%2ByVs2WjtB7AhHhlVksjc79KASbs3VyM2XCfb83LgTiZ5bcR8JuvO0QSpDQhINfeMCGjm%2F30d0HWzho%2Fo%2BpIXxs%2BXD3bKpT6dlvC5kljB9bu732jQI7Bu3nqChnMvxkOAXRKy1ujVXFIgEXv5816DP6GtC0hTnaaMF36ETE8epHYCE3AWh7KgyBp2e0%3D%7Ctkp%3ABk9SR6b7pvD8YA","AU $180.00"," Kids Giant 22 Near New Mountain Bicycle 3 years old BUT Not used ","0","Bikes"
"","","Mountain Bike","","Giant","","","Black","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Women","","Bell, Bottle Cage, Pump, Rear Bike Rack","","","Small","","","","Flat Bar","","","","","","20 Speed","","","","","","","","","","No","","27.5 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","236","","ebay_australia_bike","2022-10-17 17:37:10","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/155207764693?hash=item24231a8ad5:g:WSgAAOSwL~ZjNkk1&amdata=enc%3AAQAHAAAAoG1fBriI052aXKwkVuu%2FNXiaNifObHI8VWM5GZ%2B22N5XbI99gGKs6aBO%2Fa6MtgINyz%2B%2FZDvx5P%2Bz2GI%2BEnIJ82JoCwfAEM0n%2BCm1H%2Fj7PPRnmWqWSYds%2F86nzLb7xGSvxb6RNir9MgTJm7zD6B24YsYN6NmjYkQWU7sgObea0E1734UCEZQqcqUf3n3lP0j1VjwUnLesr31vAwwpAgz1tl4%3D%7Ctkp%3ABk9SR6b7pvD8YA","AU $450.00"," Ladies Giant Tempt Mountain Bike","0","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","Bottle Cage, Bell, Pump, Rear Bike Rack","","","Medium","","","","Flat Bar","","Talon","","","","20 Speed","","","","","","","Front","","","No","","27.5 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","237","","ebay_australia_bike","2022-10-17 17:37:10","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/155207755884?hash=item24231a686c:g:Rf8AAOSwxmljNkc8&amdata=enc%3AAQAHAAAAoE9QR0a6NWkUVXh43DtKS1f40tcpxRbVgPG379TDtO4euQFMRVU%2FPsiLwhPAkvrbLJKKC09aEIEDQHuEyjN5jp1Zi1volvaI3Pq63Y36eYJ5FGbmjZGCPM1wcHaDF6hcmlfB3lfMuyCrH%2FpDUbzyqoeEprTvqoSk7eWPop%2Fjvd3WsMXeLW3pcIae%2FIarLgG%2B75Q%2FmNTBcrScIUVHKOZ%2B7bM%3D%7Ctkp%3ABk9SR6b7pvD8YA","AU $490.00"," Mens Giant Talon mountain bike","0","Bikes"
"","","Road Bike","","Giant","","","Black","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","53 cm","","Campagnolo Centuar","","","","","Carbon Fibre","Advanced TCR  SL","","20 Speed","","","","","","","No Suspension","","","No","","25 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","238","AU $1,300.00","ebay_australia_bike","2022-10-17 17:37:10","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/195405882807?hash=item2d7f1925b7:g:TQIAAOSwxdxjNFmC&amdata=enc%3AAQAHAAAAoJLEGeoaRRdI6AKhlt2hz092RgQ2QHjojm2rwutX%2FDzJclxsZUlGdW2sfMNYkb2ixc5YCGNQ00wGcDEMPCyFqYstRaagjGkIBcDr0IZiYK1sVZHHb8Sf7sOJieK%2B4l%2FCEyDN25XZbNruZYNvvzSUzpy0pjVBMwq%2Fs5N34gndIr8TXeLR9s994Lsx8xwtchEGsB3eD7AqpgOax%2B4X9VQgNs4%3D%7Ctkp%3ABk9SR6b7pvD8YA",""," GIANT  TCR  ADVANCED  Racer BICYCLE 53.5 Frame Size","","Bikes"
"","","BMX Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","239","AU $200.00","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/125553194594?hash=item1d3b8db662:g:h9IAAOSwHI5jQggf&amdata=enc%3AAQAHAAAAoE8LvBcUfpeDacGiNl1PyM7kD%2BEm8coh6CXVJrRIdvZVCUd6rUpM3toD7M6eFNKS9cD2IVWJrJfHCKsJGJb%2B3lDK0UCdJQGgK2KQvtNPONyFrxLBNKmtABn0VykmRay15eqXd5mGXdsrscrBAuxbS%2FFJvCVOWeI2n7%2BfvkMlcgR7NSFRgtz%2FtOxMuf84pE58iyDggdOA345j2Vwizeihzmk%3D%7Ctkp%3ABk9SR6L7pvD8YA",""," Giant - Method BMX bike used ","","Bikes"
"","","Hybrid Bike","Caliper Brake - Side Pull","Giant","","","Blue","Used","","Unisex Adults","","","","","Large","","Derailleur Gears","","Flat Bar","","","Aluminium","Cross city","","24 Speed","","","","Trigger Shifter","","","No Suspension","Tubular Tyres","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","240","AU $399.00","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/304664531060?hash=item46ef6bd074:g:jYkAAOSwZX1jORvy&amdata=enc%3AAQAHAAAAoDPHgHrV1MSNWYM%2FaXeaVv71I%2B7%2FKReohh%2B0iKnbxkR%2B%2FwMd5t2jswSKSL0eQH2jdA%2B2ch0BbO7IUgkRD03xENkvT4CwC2JphXfVoRx%2B%2F2cBDd%2BJy9FD%2FGE878wKD4O%2FnS61iwaIrCGRYUHJwrnXi%2FuAO26oRc0bmGapVtyGcnIByo63A7uJvrkDP7aSmAC%2BLio350usV98gXfHDmn7g2kc%3D%7Ctkp%3ABk9SR6b7pvD8YA","","  GIANT 2 CROSS CITY SIZE L HYBRID BICYCLE","","Bikes"
"","","Kids Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","3 Speed","","","","","","","","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","241","","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/125564862648?hash=item1d3c3fc0b8:g:19cAAOSwDodjPopG&amdata=enc%3AAQAHAAAAoAR%2Fh4Z5ZChWd5Uwq6zjTRVaD9cLanhodKGzOa%2FtljAnnhH2F6%2FgZKvHAg7WnDvSJq9nrYFO7XOHOgfYRtERYaZfnafU58n3kAfRR3g1%2BxrxK7CzFEJIg%2BgVnWbWN4mxrpc7fDtImtAIvnihQe3VLSzoj5sm%2Bcr6c4yVgoRtCpFukZox4qqLqlAUuncjjHULx7a40YWblEi9z2jpfI0Jq7E%3D%7Ctkp%3ABk9SR6T7pvD8YA","AU $50.00"," Giant Veer 20 inch 3-speed bike","0","Bikes"
"","","Hardtail Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","242","AU $500.00","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/155192967030?hash=item242238bf76:g:6QgAAOSw9SNjPMcH&amdata=enc%3AAQAHAAAAoGtPMbFbF5GreaGBCtlauFMYVs%2Bv1js%2FvVStm7MMPKRWhl9E5yOMPaj05LN%2BIXNGlA6b%2BWbiHBlLDdvoEfrAXy1TKJ4iVIxkrWU5ZjO8Yl1XYPJbujE2OuBNog9SqnfNTe098ko0cGDRhCTEtTkGB3XC%2BSL%2F%2FcbwpfqZLY%2FJsgq3NRnfwFvV7rqm02kICjYORScVfkZE5JdUpqAHBU4S3eA%3D%7Ctkp%3ABk9SR6T7pvD8YA",""," Giant XTC1 Hardtail Bike","","Bikes"
"","","Road Bike","","Giant","","","","Used","","Unisex Adults","","","","","X-Large","","","","","","","","","","","","","","","","","","","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","243","","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/284999907349?hash=item425b517815:g:5RgAAOSwyS1jOkZ6&amdata=enc%3AAQAHAAAAoJ74fMIxmSrHMv3kVRSqP9as69%2BIwqVQ5ROMSu2k0FP0Pk5S09eLaPxNcT1dMqlmrct5QYJMvEg7ehRNx%2FELm8dL2wiUUWuFMheItOWQYbNonkLfV%2FjbMcJBv%2B%2Fl0dDnGW9Guq3kuZg4xA5Q47Kc%2F1oBuMSKYom6GWN%2FKab9IdPC7ViMFF8PVi%2Fka%2B1ed8IoHZWyTg%2Br%2FhyaLcz09sq8ymM%3D%7Ctkp%3ABk9SR6b7pvD8YA","AU $750.00"," Giant Cross City Disc 1 XL - as new","0","Bikes"
"","","Mountain Bike","","Shimano","","","Orange","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","244","AU $300.00","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/334587100105?hash=item4de6f1fbc9:g:Bo8AAOSwsExjQiYk&amdata=enc%3AAQAHAAAA4F0%2FdyamfO7tIonqB%2BL7GeX9GvIwoFCsnZiempcsATh3R4uk0kPJMVRs%2BhXMrYcBIMk5q2rE7ziY01QA2wFUoNQZDqdJYNoQ1ZHpMJwA52mqKs5VgWLAxx9eDBiOiYqWmBSMBLwZlmHu5ZmAN8Wq8q9R6%2FliMQgy03wtKSESPL5lLBJq9HEh5silYNM%2FIJpdJrWlOTZ%2Bqn%2Bfxe7EEPe%2Fo6ghXx454dheH2bhdK2QTH8qmUVULToChIT2ZDuZT9IKYyDLfZTq0wdiZZuBb%2BBlOVd7O3kkpUhiga3TM%2BY4df%2Fx%7Ctkp%3ABk9SR6L7pvD8YA",""," Giant ARX 24” Mountain Bike Orange Shimano Gears Excellent Condition","","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","245","","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/204122562674?hash=item2f86a72072:g:dTAAAOSw8wVjOTSe&amdata=enc%3AAQAHAAAAoFAuFbXwc2614UZornca5j1eSZaw9Z9SBJ9l3d8JWfd2JPfYOhMr4Y6xbd9cAW2Kf64eRD1xLPUZhVIpK1A4ED4hHBNOln5aFr1HXo7XAEscub4pYyUa27uqLT5UszdGR4irRcAPJKlJO%2BwMOC75G2gytGNsVfj2PVDu8SvR1lvR4MMJ1ZeLd9qxOOJk3xAw32GE%2FuIpzzUqWwtdBN1Qysk%3D%7Ctkp%3ABk9SR6b7pvD8YA","AU $175.00"," Bike Giant Upland","0","Bikes"
"","","Mountain Bike","","Giant","","","Mint","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Women","","Adjustable Seat, Bell, Bottle Cage, Reflectors","","","19 inches","","","","","","","","","","8 Speed","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","246","","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/314179452546?hash=item49268dfe82:g:NbwAAOSwNYdjQOc6&amdata=enc%3AAQAHAAAAoOPAVKHcgkddmC%2Fo1m9pPA6U7zt2%2BjPCNnlgu65hJfaGwN%2BFqaR8XQeOqpw9n5l4KkbOm12UV6yhG3aB0joeUHwvL1ph3qhOT5T3Z9eYqRimSQC%2FZk4krcDtAH4bOMde7VUAu6eTGpklVJc8Hj2l%2FxdOa9rQF6kQSTHry4te4g1%2FtVuyvFyI0U%2Btx0aRYNOWBmnkwd5dRIX54QhisPDVwqo%3D%7Ctkp%3ABk9SR6T7pvD8YA","AU $200.00"," Giant Bicycle - Women's 19 inch SR Suntour XCT V2 with Shimano 8 speed gears","0","Bikes"
"","","BMX Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","247","","ebay_australia_bike","2022-10-17 17:37:11","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/225203411960?hash=item346f2b5bf8:g:IiIAAOSwmHRjPkdp&amdata=enc%3AAQAHAAAAoPmr7elC362VrfTqZ5xxELtQnsRg25r5uHZZj1liilGjcZwjySVNBPn3Bsv0MhvXxSh2unw7iHFKsM%2FBKxjdMjtQcdPSGXIwJ2GTiC8tmkRVf7bibZTHr4%2FTlrwwTgdsggM9XcybKaNvCc4TdAb6uFEumJvGg3m3%2BasXPBTKO5Rq%2FIV9PNePHsX0LgVqFApgLjgZbjW81UzG5oKPGnVgiOM%3D%7Ctkp%3ABk9SR6T7pvD8YA","AU $120.00"," Giant Method BMX Push Bike Cycling Bicycle","0","Bikes"
